,date,year,month,day,maxt
0,19010101,1901,1,1,22
1,19010201,1901,2,1,-999
2,19010301,1901,3,1,19
3,19010401,1901,4,1,21
4,19010501,1901,5,1,30
5,19010601,1901,6,1,28
6,19010701,1901,7,1,35
7,19010801,1901,8,1,34
8,19010901,1901,9,1,34
9,19011001,1901,10,1,32
10,19011101,1901,11,1,27
11,19011201,1901,12,1,30
12,19010102,1901,1,2,22
13,19010202,1901,2,2,-999
14,19010302,1901,3,2,20
15,19010402,1901,4,2,25
16,19010502,1901,5,2,32
17,19010602,1901,6,2,31
18,19010702,1901,7,2,33
19,19010802,1901,8,2,35
20,19010902,1901,9,2,30
21,19011002,1901,10,2,32
22,19011102,1901,11,2,25
23,19011202,1901,12,2,20
24,19010103,1901,1,3,24
25,19010203,1901,2,3,-999
26,19010303,1901,3,3,18
27,19010403,1901,4,3,24
28,19010503,1901,5,3,32
29,19010603,1901,6,3,30
30,19010703,1901,7,3,33
31,19010803,1901,8,3,36
32,19010903,1901,9,3,32
33,19011003,1901,10,3,36
34,19011103,1901,11,3,26
35,19011203,1901,12,3,17
36,19010104,1901,1,4,26
37,19010204,1901,2,4,-999
38,19010304,1901,3,4,17
39,19010404,1901,4,4,25
40,19010504,1901,5,4,25
41,19010604,1901,6,4,30
42,19010704,1901,7,4,30
43,19010804,1901,8,4,31
44,19010904,1901,9,4,32
45,19011004,1901,10,4,36
46,19011104,1901,11,4,28
47,19011204,1901,12,4,17
48,19010105,1901,1,5,25
49,19010205,1901,2,5,-999
50,19010305,1901,3,5,20
51,19010405,1901,4,5,22
52,19010505,1901,5,5,26
53,19010605,1901,6,5,29
54,19010705,1901,7,5,32
55,19010805,1901,8,5,28
56,19010905,1901,9,5,33
57,19011005,1901,10,5,34
58,19011105,1901,11,5,27
59,19011205,1901,12,5,19
60,19010106,1901,1,6,21
61,19010206,1901,2,6,-999
62,19010306,1901,3,6,24
63,19010406,1901,4,6,23
64,19010506,1901,5,6,30
65,19010606,1901,6,6,32
66,19010706,1901,7,6,28
67,19010806,1901,8,6,32
68,19010906,1901,9,6,32
69,19011006,1901,10,6,33
70,19011106,1901,11,6,29
71,19011206,1901,12,6,22
72,19010107,1901,1,7,18
73,19010207,1901,2,7,-999
74,19010307,1901,3,7,26
75,19010407,1901,4,7,22
76,19010507,1901,5,7,29
77,19010607,1901,6,7,30
78,19010707,1901,7,7,30
79,19010807,1901,8,7,34
80,19010907,1901,9,7,34
81,19011007,1901,10,7,31
82,19011107,1901,11,7,30
83,19011207,1901,12,7,22
84,19010108,1901,1,8,19
85,19010208,1901,2,8,-999
86,19010308,1901,3,8,20
87,19010408,1901,4,8,20
88,19010508,1901,5,8,28
89,19010608,1901,6,8,30
90,19010708,1901,7,8,32
91,19010808,1901,8,8,32
92,19010908,1901,9,8,34
93,19011008,1901,10,8,33
94,19011108,1901,11,8,29
95,19011208,1901,12,8,25
96,19010109,1901,1,9,19
97,19010209,1901,2,9,-999
98,19010309,1901,3,9,24
99,19010409,1901,4,9,21
100,19010509,1901,5,9,31
101,19010609,1901,6,9,30
102,19010709,1901,7,9,32
103,19010809,1901,8,9,32
104,19010909,1901,9,9,34
105,19011009,1901,10,9,30
106,19011109,1901,11,9,30
107,19011209,1901,12,9,25
108,19010110,1901,1,10,25
109,19010210,1901,2,10,-999
110,19010310,1901,3,10,26
111,19010410,1901,4,10,22
112,19010510,1901,5,10,29
113,19010610,1901,6,10,31
114,19010710,1901,7,10,32
115,19010810,1901,8,10,31
116,19010910,1901,9,10,33
117,19011010,1901,10,10,31
118,19011110,1901,11,10,30
119,19011210,1901,12,10,27
120,19010111,1901,1,11,20
121,19010211,1901,2,11,-999
122,19010311,1901,3,11,23
123,19010411,1901,4,11,21
124,19010511,1901,5,11,24
125,19010611,1901,6,11,32
126,19010711,1901,7,11,31
127,19010811,1901,8,11,31
128,19010911,1901,9,11,30
129,19011011,1901,10,11,32
130,19011111,1901,11,11,31
131,19011211,1901,12,11,24
132,19010112,1901,1,12,19
133,19010212,1901,2,12,-999
134,19010312,1901,3,12,19
135,19010412,1901,4,12,22
136,19010512,1901,5,12,21
137,19010612,1901,6,12,33
138,19010712,1901,7,12,32
139,19010812,1901,8,12,30
140,19010912,1901,9,12,32
141,19011012,1901,10,12,33
142,19011112,1901,11,12,23
143,19011212,1901,12,12,25
144,19010113,1901,1,13,20
145,19010213,1901,2,13,-999
146,19010313,1901,3,13,18
147,19010413,1901,4,13,24
148,19010513,1901,5,13,26
149,19010613,1901,6,13,33
150,19010713,1901,7,13,31
151,19010813,1901,8,13,30
152,19010913,1901,9,13,32
153,19011013,1901,10,13,34
154,19011113,1901,11,13,27
155,19011213,1901,12,13,22
156,19010114,1901,1,14,23
157,19010214,1901,2,14,-999
158,19010314,1901,3,14,20
159,19010414,1901,4,14,25
160,19010514,1901,5,14,24
161,19010614,1901,6,14,34
162,19010714,1901,7,14,30
163,19010814,1901,8,14,29
164,19010914,1901,9,14,35
165,19011014,1901,10,14,30
166,19011114,1901,11,14,29
167,19011214,1901,12,14,27
168,19010115,1901,1,15,20
169,19010215,1901,2,15,-999
170,19010315,1901,3,15,23
171,19010415,1901,4,15,27
172,19010515,1901,5,15,26
173,19010615,1901,6,15,31
174,19010715,1901,7,15,30
175,19010815,1901,8,15,29
176,19010915,1901,9,15,34
177,19011015,1901,10,15,31
178,19011115,1901,11,15,27
179,19011215,1901,12,15,25
180,19010116,1901,1,16,25
181,19010216,1901,2,16,-999
182,19010316,1901,3,16,20
183,19010416,1901,4,16,25
184,19010516,1901,5,16,29
185,19010616,1901,6,16,31
186,19010716,1901,7,16,31
187,19010816,1901,8,16,29
188,19010916,1901,9,16,34
189,19011016,1901,10,16,27
190,19011116,1901,11,16,27
191,19011216,1901,12,16,24
192,19010117,1901,1,17,25
193,19010217,1901,2,17,-999
194,19010317,1901,3,17,18
195,19010417,1901,4,17,25
196,19010517,1901,5,17,29
197,19010617,1901,6,17,30
198,19010717,1901,7,17,32
199,19010817,1901,8,17,30
200,19010917,1901,9,17,33
201,19011017,1901,10,17,25
202,19011117,1901,11,17,26
203,19011217,1901,12,17,23
204,19010118,1901,1,18,16
205,19010218,1901,2,18,-999
206,19010318,1901,3,18,20
207,19010418,1901,4,18,27
208,19010518,1901,5,18,29
209,19010618,1901,6,18,31
210,19010718,1901,7,18,32
211,19010818,1901,8,18,30
212,19010918,1901,9,18,35
213,19011018,1901,10,18,24
214,19011118,1901,11,18,27
215,19011218,1901,12,18,21
216,19010119,1901,1,19,19
217,19010219,1901,2,19,-999
218,19010319,1901,3,19,20
219,19010419,1901,4,19,28
220,19010519,1901,5,19,29
221,19010619,1901,6,19,32
222,19010719,1901,7,19,32
223,19010819,1901,8,19,30
224,19010919,1901,9,19,36
225,19011019,1901,10,19,28
226,19011119,1901,11,19,25
227,19011219,1901,12,19,18
228,19010120,1901,1,20,23
229,19010220,1901,2,20,-999
230,19010320,1901,3,20,24
231,19010420,1901,4,20,27
232,19010520,1901,5,20,31
233,19010620,1901,6,20,33
234,19010720,1901,7,20,32
235,19010820,1901,8,20,31
236,19010920,1901,9,20,35
237,19011020,1901,10,20,29
238,19011120,1901,11,20,25
239,19011220,1901,12,20,16
240,19010121,1901,1,21,25
241,19010221,1901,2,21,-999
242,19010321,1901,3,21,24
243,19010421,1901,4,21,29
244,19010521,1901,5,21,32
245,19010621,1901,6,21,32
246,19010721,1901,7,21,33
247,19010821,1901,8,21,31
248,19010921,1901,9,21,35
249,19011021,1901,10,21,30
250,19011121,1901,11,21,24
251,19011221,1901,12,21,17
252,19010122,1901,1,22,25
253,19010222,1901,2,22,-999
254,19010322,1901,3,22,23
255,19010422,1901,4,22,29
256,19010522,1901,5,22,33
257,19010622,1901,6,22,33
258,19010722,1901,7,22,34
259,19010822,1901,8,22,32
260,19010922,1901,9,22,31
261,19011022,1901,10,22,30
262,19011122,1901,11,22,28
263,19011222,1901,12,22,21
264,19010123,1901,1,23,24
265,19010223,1901,2,23,-999
266,19010323,1901,3,23,23
267,19010423,1901,4,23,31
268,19010523,1901,5,23,33
269,19010623,1901,6,23,32
270,19010723,1901,7,23,34
271,19010823,1901,8,23,33
272,19010923,1901,9,23,32
273,19011023,1901,10,23,33
274,19011123,1901,11,23,28
275,19011223,1901,12,23,22
276,19010124,1901,1,24,25
277,19010224,1901,2,24,-999
278,19010324,1901,3,24,22
279,19010424,1901,4,24,31
280,19010524,1901,5,24,32
281,19010624,1901,6,24,33
282,19010724,1901,7,24,34
283,19010824,1901,8,24,35
284,19010924,1901,9,24,33
285,19011024,1901,10,24,31
286,19011124,1901,11,24,26
287,19011224,1901,12,24,22
288,19010125,1901,1,25,20
289,19010225,1901,2,25,-999
290,19010325,1901,3,25,23
291,19010425,1901,4,25,30
292,19010525,1901,5,25,33
293,19010625,1901,6,25,33
294,19010725,1901,7,25,33
295,19010825,1901,8,25,35
296,19010925,1901,9,25,33
297,19011025,1901,10,25,30
298,19011125,1901,11,25,27
299,19011225,1901,12,25,22
300,19010126,1901,1,26,22
301,19010226,1901,2,26,-999
302,19010326,1901,3,26,24
303,19010426,1901,4,26,31
304,19010526,1901,5,26,32
305,19010626,1901,6,26,33
306,19010726,1901,7,26,32
307,19010826,1901,8,26,33
308,19010926,1901,9,26,32
309,19011026,1901,10,26,29
310,19011126,1901,11,26,25
311,19011226,1901,12,26,17
312,19010127,1901,1,27,22
313,19010227,1901,2,27,-999
314,19010327,1901,3,27,26
315,19010427,1901,4,27,27
316,19010527,1901,5,27,31
317,19010627,1901,6,27,33
318,19010727,1901,7,27,32
319,19010827,1901,8,27,34
320,19010927,1901,9,27,31
321,19011027,1901,10,27,27
322,19011127,1901,11,27,26
323,19011227,1901,12,27,17
324,19010128,1901,1,28,23
325,19010228,1901,2,28,-999
326,19010328,1901,3,28,26
327,19010428,1901,4,28,29
328,19010528,1901,5,28,29
329,19010628,1901,6,28,33
330,19010728,1901,7,28,33
331,19010828,1901,8,28,36
332,19010928,1901,9,28,34
333,19011028,1901,10,28,29
334,19011128,1901,11,28,25
335,19011228,1901,12,28,18
336,19010129,1901,1,29,25
337,19010229,1901,2,29,-999
338,19010329,1901,3,29,25
339,19010429,1901,4,29,32
340,19010529,1901,5,29,31
341,19010629,1901,6,29,33
342,19010729,1901,7,29,33
343,19010829,1901,8,29,31
344,19010929,1901,9,29,34
345,19011029,1901,10,29,28
346,19011129,1901,11,29,21
347,19011229,1901,12,29,16
348,19010130,1901,1,30,21
349,19010230,1901,2,30,-999
350,19010330,1901,3,30,21
351,19010430,1901,4,30,29
352,19010530,1901,5,30,30
353,19010630,1901,6,30,33
354,19010730,1901,7,30,32
355,19010830,1901,8,30,32
356,19010930,1901,9,30,31
357,19011030,1901,10,30,30
358,19011130,1901,11,30,21
359,19011230,1901,12,30,17
360,19010131,1901,1,31,23
361,19010231,1901,2,31,-999
362,19010331,1901,3,31,22
363,19010431,1901,4,31,-999
364,19010531,1901,5,31,30
365,19010631,1901,6,31,-999
366,19010731,1901,7,31,32
367,19010831,1901,8,31,33
368,19010931,1901,9,31,-999
369,19011031,1901,10,31,28
370,19011131,1901,11,31,-999
371,19011231,1901,12,31,19
372,19020101,1902,1,1,17
373,19020201,1902,2,1,12
374,19020301,1902,3,1,27
375,19020401,1902,4,1,23
376,19020501,1902,5,1,30
377,19020601,1902,6,1,25
378,19020701,1902,7,1,29
379,19020801,1902,8,1,35
380,19020901,1902,9,1,32
381,19021001,1902,10,1,32
382,19021101,1902,11,1,25
383,19021201,1902,12,1,23
384,19020102,1902,1,2,19
385,19020202,1902,2,2,11
386,19020302,1902,3,2,20
387,19020402,1902,4,2,28
388,19020502,1902,5,2,33
389,19020602,1902,6,2,26
390,19020702,1902,7,2,31
391,19020802,1902,8,2,34
392,19020902,1902,9,2,34
393,19021002,1902,10,2,32
394,19021102,1902,11,2,26
395,19021202,1902,12,2,26
396,19020103,1902,1,3,21
397,19020203,1902,2,3,9
398,19020303,1902,3,3,24
399,19020403,1902,4,3,25
400,19020503,1902,5,3,32
401,19020603,1902,6,3,28
402,19020703,1902,7,3,30
403,19020803,1902,8,3,29
404,19020903,1902,9,3,34
405,19021003,1902,10,3,33
406,19021103,1902,11,3,27
407,19021203,1902,12,3,26
408,19020104,1902,1,4,22
409,19020204,1902,2,4,13
410,19020304,1902,3,4,19
411,19020404,1902,4,4,25
412,19020504,1902,5,4,31
413,19020604,1902,6,4,32
414,19020704,1902,7,4,33
415,19020804,1902,8,4,31
416,19020904,1902,9,4,35
417,19021004,1902,10,4,32
418,19021104,1902,11,4,24
419,19021204,1902,12,4,25
420,19020105,1902,1,5,23
421,19020205,1902,2,5,18
422,19020305,1902,3,5,15
423,19020405,1902,4,5,25
424,19020505,1902,5,5,33
425,19020605,1902,6,5,32
426,19020705,1902,7,5,32
427,19020805,1902,8,5,32
428,19020905,1902,9,5,35
429,19021005,1902,10,5,31
430,19021105,1902,11,5,22
431,19021205,1902,12,5,23
432,19020106,1902,1,6,23
433,19020206,1902,2,6,19
434,19020306,1902,3,6,19
435,19020406,1902,4,6,26
436,19020506,1902,5,6,34
437,19020606,1902,6,6,34
438,19020706,1902,7,6,32
439,19020806,1902,8,6,33
440,19020906,1902,9,6,34
441,19021006,1902,10,6,31
442,19021106,1902,11,6,24
443,19021206,1902,12,6,21
444,19020107,1902,1,7,26
445,19020207,1902,2,7,20
446,19020307,1902,3,7,22
447,19020407,1902,4,7,26
448,19020507,1902,5,7,34
449,19020607,1902,6,7,30
450,19020707,1902,7,7,32
451,19020807,1902,8,7,36
452,19020907,1902,9,7,33
453,19021007,1902,10,7,32
454,19021107,1902,11,7,25
455,19021207,1902,12,7,15
456,19020108,1902,1,8,25
457,19020208,1902,2,8,20
458,19020308,1902,3,8,25
459,19020408,1902,4,8,29
460,19020508,1902,5,8,30
461,19020608,1902,6,8,28
462,19020708,1902,7,8,32
463,19020808,1902,8,8,32
464,19020908,1902,9,8,35
465,19021008,1902,10,8,31
466,19021108,1902,11,8,25
467,19021208,1902,12,8,21
468,19020109,1902,1,9,23
469,19020209,1902,2,9,20
470,19020309,1902,3,9,28
471,19020409,1902,4,9,30
472,19020509,1902,5,9,31
473,19020609,1902,6,9,29
474,19020709,1902,7,9,32
475,19020809,1902,8,9,33
476,19020909,1902,9,9,32
477,19021009,1902,10,9,29
478,19021109,1902,11,9,26
479,19021209,1902,12,9,17
480,19020110,1902,1,10,26
481,19020210,1902,2,10,22
482,19020310,1902,3,10,24
483,19020410,1902,4,10,28
484,19020510,1902,5,10,32
485,19020610,1902,6,10,29
