,date,year,month,day,meant
0,19010101,1901,1,1,20.1
1,19010201,1901,2,1,14
2,19010301,1901,3,1,13.4
3,19010401,1901,4,1,17.9
4,19010501,1901,5,1,25.6
5,19010601,1901,6,1,25
6,19010701,1901,7,1,28.8
7,19010801,1901,8,1,29.6
8,19010901,1901,9,1,28.2
9,19011001,1901,10,1,27.3
10,19011101,1901,11,1,22
11,19011201,1901,12,1,21.7
12,19010102,1901,1,2,20
13,19010202,1901,2,2,9.5
14,19010302,1901,3,2,14.7
15,19010402,1901,4,2,19.1
16,19010502,1901,5,2,26.9
17,19010602,1901,6,2,25.8
18,19010702,1901,7,2,28.7
19,19010802,1901,8,2,30.8
20,19010902,1901,9,2,27.4
21,19011002,1901,10,2,28
22,19011102,1901,11,2,19.5
23,19011202,1901,12,2,15.2
24,19010103,1901,1,3,20.9
25,19010203,1901,2,3,4.4
26,19010303,1901,3,3,13.9
27,19010403,1901,4,3,20
28,19010503,1901,5,3,26.6
29,19010603,1901,6,3,25.6
30,19010703,1901,7,3,27.1
31,19010803,1901,8,3,31.8
32,19010903,1901,9,3,28.2
33,19011003,1901,10,3,29.2
34,19011103,1901,11,3,21.6
35,19011203,1901,12,3,13.2
36,19010104,1901,1,4,22.6
37,19010204,1901,2,4,2.6
38,19010304,1901,3,4,12.8
39,19010404,1901,4,4,19.7
40,19010504,1901,5,4,23.4
41,19010604,1901,6,4,25.1
42,19010704,1901,7,4,26.2
43,19010804,1901,8,4,28.6
44,19010904,1901,9,4,28.5
45,19011004,1901,10,4,30.1
46,19011104,1901,11,4,23.2
47,19011204,1901,12,4,13.9
48,19010105,1901,1,5,20.9
49,19010205,1901,2,5,5.5
50,19010305,1901,3,5,14
51,19010405,1901,4,5,19.6
52,19010505,1901,5,5,23.8
53,19010605,1901,6,5,24.9
54,19010705,1901,7,5,26.5
55,19010805,1901,8,5,26
56,19010905,1901,9,5,28.9
57,19011005,1901,10,5,28.1
58,19011105,1901,11,5,23.7
59,19011205,1901,12,5,14.4
60,19010106,1901,1,6,17.6
61,19010206,1901,2,6,8.5
62,19010306,1901,3,6,17.4
63,19010406,1901,4,6,20.4
64,19010506,1901,5,6,24.5
65,19010606,1901,6,6,26
66,19010706,1901,7,6,27
67,19010806,1901,8,6,28.8
68,19010906,1901,9,6,28.9
69,19011006,1901,10,6,27
70,19011106,1901,11,6,24.2
71,19011206,1901,12,6,15.6
72,19010107,1901,1,7,16.7
73,19010207,1901,2,7,11
74,19010307,1901,3,7,18.5
75,19010407,1901,4,7,19.9
76,19010507,1901,5,7,25.8
77,19010607,1901,6,7,27.1
78,19010707,1901,7,7,27.4
79,19010807,1901,8,7,29.2
80,19010907,1901,9,7,29.6
81,19011007,1901,10,7,27.1
82,19011107,1901,11,7,25
83,19011207,1901,12,7,16.8
84,19010108,1901,1,8,16.7
85,19010208,1901,2,8,13.6
86,19010308,1901,3,8,16.1
87,19010408,1901,4,8,17.6
88,19010508,1901,5,8,23.7
89,19010608,1901,6,8,25.9
90,19010708,1901,7,8,27.8
91,19010808,1901,8,8,29.1
92,19010908,1901,9,8,30.4
93,19011008,1901,10,8,28.5
94,19011108,1901,11,8,24.7
95,19011208,1901,12,8,17.7
96,19010109,1901,1,9,16.8
97,19010209,1901,2,9,15.4
98,19010309,1901,3,9,17.9
99,19010409,1901,4,9,18.5
100,19010509,1901,5,9,26.2
101,19010609,1901,6,9,25.4
102,19010709,1901,7,9,27.8
103,19010809,1901,8,9,28.8
104,19010909,1901,9,9,28.5
105,19011009,1901,10,9,26.9
106,19011109,1901,11,9,24
107,19011209,1901,12,9,18.9
108,19010110,1901,1,10,19
109,19010210,1901,2,10,9.9
110,19010310,1901,3,10,20
111,19010410,1901,4,10,19.2
112,19010510,1901,5,10,24.8
113,19010610,1901,6,10,26.1
114,19010710,1901,7,10,28.3
115,19010810,1901,8,10,28
116,19010910,1901,9,10,28.1
117,19011010,1901,10,10,27.8
118,19011110,1901,11,10,24.7
119,19011210,1901,12,10,20.1
120,19010111,1901,1,11,17
121,19010211,1901,2,11,10.2
122,19010311,1901,3,11,17.6
123,19010411,1901,4,11,18.4
124,19010511,1901,5,11,22.6
125,19010611,1901,6,11,26.2
126,19010711,1901,7,11,27.9
127,19010811,1901,8,11,28.1
128,19010911,1901,9,11,26.6
129,19011011,1901,10,11,28.6
130,19011111,1901,11,11,24.3
131,19011211,1901,12,11,19.6
132,19010112,1901,1,12,16
133,19010212,1901,2,12,7.5
134,19010312,1901,3,12,15.3
135,19010412,1901,4,12,19.1
136,19010512,1901,5,12,19.6
137,19010612,1901,6,12,27.4
138,19010712,1901,7,12,28.4
139,19010812,1901,8,12,27.4
140,19010912,1901,9,12,28
141,19011012,1901,10,12,29.3
142,19011112,1901,11,12,21.6
143,19011212,1901,12,12,20.2
144,19010113,1901,1,13,16.1
145,19010213,1901,2,13,9.1
146,19010313,1901,3,13,14.6
147,19010413,1901,4,13,20.2
148,19010513,1901,5,13,22.1
149,19010613,1901,6,13,28.6
150,19010713,1901,7,13,27.6
151,19010813,1901,8,13,26.9
152,19010913,1901,9,13,28.2
153,19011013,1901,10,13,29.7
154,19011113,1901,11,13,22.8
155,19011213,1901,12,13,18
156,19010114,1901,1,14,18.5
157,19010214,1901,2,14,11.3
158,19010314,1901,3,14,15.9
159,19010414,1901,4,14,21.8
160,19010514,1901,5,14,22.2
161,19010614,1901,6,14,28.6
162,19010714,1901,7,14,27.6
163,19010814,1901,8,14,26.6
164,19010914,1901,9,14,30
165,19011014,1901,10,14,27.3
166,19011114,1901,11,14,23.6
167,19011214,1901,12,14,20.1
168,19010115,1901,1,15,19.2
169,19010215,1901,2,15,11.9
170,19010315,1901,3,15,17.6
171,19010415,1901,4,15,22.6
172,19010515,1901,5,15,22.8
173,19010615,1901,6,15,27.4
174,19010715,1901,7,15,27.8
175,19010815,1901,8,15,27.2
176,19010915,1901,9,15,28.9
177,19011015,1901,10,15,26.8
178,19011115,1901,11,15,22.2
179,19011215,1901,12,15,20.6
180,19010116,1901,1,16,21.7
181,19010216,1901,2,16,12.9
182,19010316,1901,3,16,16.2
183,19010416,1901,4,16,21.4
184,19010516,1901,5,16,24.4
185,19010616,1901,6,16,28
186,19010716,1901,7,16,27.6
187,19010816,1901,8,16,27.3
188,19010916,1901,9,16,29.1
189,19011016,1901,10,16,24.8
190,19011116,1901,11,16,19.9
191,19011216,1901,12,16,19.6
192,19010117,1901,1,17,19.9
193,19010217,1901,2,17,12.6
194,19010317,1901,3,17,14.8
195,19010417,1901,4,17,20.5
196,19010517,1901,5,17,24.8
197,19010617,1901,6,17,28.4
198,19010717,1901,7,17,27.9
199,19010817,1901,8,17,27.2
200,19010917,1901,9,17,29.2
201,19011017,1901,10,17,22.4
202,19011117,1901,11,17,21.6
203,19011217,1901,12,17,18.7
204,19010118,1901,1,18,14.1
205,19010218,1901,2,18,11.3
206,19010318,1901,3,18,15.5
207,19010418,1901,4,18,22.6
208,19010518,1901,5,18,23.9
209,19010618,1901,6,18,28.5
210,19010718,1901,7,18,28
211,19010818,1901,8,18,26.5
212,19010918,1901,9,18,28.6
213,19011018,1901,10,18,22.1
214,19011118,1901,11,18,23.6
215,19011218,1901,12,18,18.8
216,19010119,1901,1,19,15.9
217,19010219,1901,2,19,12.9
218,19010319,1901,3,19,16.1
219,19010419,1901,4,19,24.9
220,19010519,1901,5,19,24.2
221,19010619,1901,6,19,28.9
222,19010719,1901,7,19,28.8
223,19010819,1901,8,19,27.5
224,19010919,1901,9,19,29.5
225,19011019,1901,10,19,23.9
226,19011119,1901,11,19,21.7
227,19011219,1901,12,19,16.1
228,19010120,1901,1,20,19.7
229,19010220,1901,2,20,13.1
230,19010320,1901,3,20,18.7
231,19010420,1901,4,20,25.2
232,19010520,1901,5,20,25.5
233,19010620,1901,6,20,28.6
234,19010720,1901,7,20,29.3
235,19010820,1901,8,20,28.2
236,19010920,1901,9,20,29.9
237,19011020,1901,10,20,25.2
238,19011120,1901,11,20,19.6
239,19011220,1901,12,20,15.5
240,19010121,1901,1,21,21.5
241,19010221,1901,2,21,11.8
242,19010321,1901,3,21,19.4
243,19010421,1901,4,21,25.6
244,19010521,1901,5,21,26.7
245,19010621,1901,6,21,28.5
246,19010721,1901,7,21,29.6
247,19010821,1901,8,21,28.8
248,19010921,1901,9,21,30
249,19011021,1901,10,21,25.8
250,19011121,1901,11,21,20.5
251,19011221,1901,12,21,15.9
252,19010122,1901,1,22,21.1
253,19010222,1901,2,22,12.4
254,19010322,1901,3,22,18.9
255,19010422,1901,4,22,26.1
256,19010522,1901,5,22,27.3
257,19010622,1901,6,22,28.6
258,19010722,1901,7,22,29.9
259,19010822,1901,8,22,28.9
260,19010922,1901,9,22,27.6
261,19011022,1901,10,22,26.1
262,19011122,1901,11,22,21.9
263,19011222,1901,12,22,18.1
264,19010123,1901,1,23,20.9
265,19010223,1901,2,23,11.5
266,19010323,1901,3,23,18.4
267,19010423,1901,4,23,25.9
268,19010523,1901,5,23,26.3
269,19010623,1901,6,23,28.3
270,19010723,1901,7,23,30.1
271,19010823,1901,8,23,30
272,19010923,1901,9,23,28.4
273,19011023,1901,10,23,27.7
274,19011123,1901,11,23,22
275,19011223,1901,12,23,18.6
276,19010124,1901,1,24,19.4
277,19010224,1901,2,24,13.3
278,19010324,1901,3,24,17.4
279,19010424,1901,4,24,26.6
280,19010524,1901,5,24,27.9
281,19010624,1901,6,24,28.2
282,19010724,1901,7,24,30.3
283,19010824,1901,8,24,30.4
284,19010924,1901,9,24,28.9
285,19011024,1901,10,24,27.2
286,19011124,1901,11,24,21.5
287,19011224,1901,12,24,18.9
288,19010125,1901,1,25,17
289,19010225,1901,2,25,13.6
290,19010325,1901,3,25,18.1
291,19010425,1901,4,25,26.3
292,19010525,1901,5,25,28.2
293,19010625,1901,6,25,27.6
294,19010725,1901,7,25,29.7
295,19010825,1901,8,25,31.3
296,19010925,1901,9,25,29.1
297,19011025,1901,10,25,25.9
298,19011125,1901,11,25,21.3
299,19011225,1901,12,25,18.9
300,19010126,1901,1,26,17.7
301,19010226,1901,2,26,13.3
302,19010326,1901,3,26,19.3
303,19010426,1901,4,26,23.5
304,19010526,1901,5,26,27.6
305,19010626,1901,6,26,28.1
306,19010726,1901,7,26,28.9
307,19010826,1901,8,26,29.2
308,19010926,1901,9,26,28.6
309,19011026,1901,10,26,25.6
310,19011126,1901,11,26,20.6
311,19011226,1901,12,26,15.4
312,19010127,1901,1,27,18.5
313,19010227,1901,2,27,15.8
314,19010327,1901,3,27,20.5
315,19010427,1901,4,27,22.6
316,19010527,1901,5,27,25.6
317,19010627,1901,6,27,28.5
318,19010727,1901,7,27,29.1
319,19010827,1901,8,27,29.9
320,19010927,1901,9,27,27.8
321,19011027,1901,10,27,23
322,19011127,1901,11,27,21.8
323,19011227,1901,12,27,14.1
324,19010128,1901,1,28,19.8
325,19010228,1901,2,28,13.7
326,19010328,1901,3,28,21.2
327,19010428,1901,4,28,23.6
328,19010528,1901,5,28,25.6
329,19010628,1901,6,28,28
330,19010728,1901,7,28,29.1
331,19010828,1901,8,28,31
332,19010928,1901,9,28,29.7
333,19011028,1901,10,28,23.3
334,19011128,1901,11,28,21.5
335,19011228,1901,12,28,15.5
336,19010129,1901,1,29,20.5
337,19010229,1901,2,29,-999
338,19010329,1901,3,29,19.7
339,19010429,1901,4,29,23.6
340,19010529,1901,5,29,25.3
341,19010629,1901,6,29,28.3
342,19010729,1901,7,29,29.9
343,19010829,1901,8,29,28.3
344,19010929,1901,9,29,28.5
345,19011029,1901,10,29,23.6
346,19011129,1901,11,29,18.4
347,19011229,1901,12,29,13.3
348,19010130,1901,1,30,17.6
349,19010230,1901,2,30,-999
350,19010330,1901,3,30,17.6
351,19010430,1901,4,30,24.1
352,19010530,1901,5,30,25.8
353,19010630,1901,6,30,28.5
354,19010730,1901,7,30,29.1
355,19010830,1901,8,30,28.6
356,19010930,1901,9,30,27.8
357,19011030,1901,10,30,24.2
358,19011130,1901,11,30,18.2
359,19011230,1901,12,30,13.3
360,19010131,1901,1,31,19.5
361,19010231,1901,2,31,-999
362,19010331,1901,3,31,18.2
363,19010431,1901,4,31,-999
364,19010531,1901,5,31,25
365,19010631,1901,6,31,-999
366,19010731,1901,7,31,29.5
367,19010831,1901,8,31,29.4
368,19010931,1901,9,31,-999
369,19011031,1901,10,31,23.9
370,19011131,1901,11,31,-999
371,19011231,1901,12,31,13.5
372,19020101,1902,1,1,11.4
373,19020201,1902,2,1,12.3
374,19020301,1902,3,1,22.6
375,19020401,1902,4,1,20.7
376,19020501,1902,5,1,26.9
377,19020601,1902,6,1,23.6
378,19020701,1902,7,1,27
379,19020801,1902,8,1,30.4
380,19020901,1902,9,1,28.4
381,19021001,1902,10,1,27.5
382,19021101,1902,11,1,22
383,19021201,1902,12,1,22.3
384,19020102,1902,1,2,13.6
385,19020202,1902,2,2,9
386,19020302,1902,3,2,19
387,19020402,1902,4,2,24.3
388,19020502,1902,5,2,28.5
389,19020602,1902,6,2,24.1
390,19020702,1902,7,2,28.6
391,19020802,1902,8,2,28.7
392,19020902,1902,9,2,28.4
393,19021002,1902,10,2,27.7
394,19021102,1902,11,2,24
395,19021202,1902,12,2,24.5
396,19020103,1902,1,3,14.7
397,19020203,1902,2,3,8.5
398,19020303,1902,3,3,20.6
